"","Feature","Gain","Cover","Frequency","Importance"
"1","score_17",0.872442266054137,0.199550976465505,0.0837016008662823,0.872442266054137
"2","score_16",0.0256234059799569,0.0473506759025224,0.0382217799760016,0.0256234059799569
"3","score_15",0.0238177236360109,0.0453672131497886,0.0390705025022681,0.0238177236360109
"4","score_14",0.0171881127026478,0.0391489067422726,0.0358219438672481,0.0171881127026478
"5","score_11",0.00959844598990947,0.0393558734625922,0.0330709122303843,0.00959844598990947
"6","score_12",0.00716255964968194,0.0466088733994797,0.0335684392285405,0.00716255964968194
"7","score_13",0.00691517264721978,0.0599087913691816,0.0364950686294594,0.00691517264721978
"8","score_5",0.00340490571583352,0.0350149551114537,0.0316661301179432,0.00340490571583352
"9","score_9",0.00290705173452588,0.0274892345489028,0.0340074336386783,0.00290705173452588
"10","score_10",0.0028494788355335,0.0353776821480228,0.0313442008838421,0.0028494788355335
"11","score_8",0.0028330791128051,0.0251505686392131,0.0320465919400626,0.0028330791128051
"12","patientid",0.00253739875252636,0.0578991751306644,0.115835991688372,0.00253739875252636
"13","score_7",0.0024351421008411,0.026547528967837,0.0311393368257778,0.0024351421008411
"14","age",0.00235664559726409,0.0170993371021834,0.0356463461031929,0.00235664559726409
"15","score_1",0.00229712735089951,0.0304966853108137,0.0382217799760016,0.00229712735089951
"16","score_2",0.00215869904038653,0.0280617697709647,0.0336269718165589,0.00215869904038653
"17","score_6",0.00213510762275606,0.0325991494254097,0.0296174895372999,0.00213510762275606
"18","score_3",0.00193549301537994,0.0205843140957203,0.0335391729345313,0.00193549301537994
"19","score_4",0.00188354612572902,0.0257928598302429,0.0297638210073458,0.00188354612572902
"20","bmi",0.00178332826537366,0.0577116384292397,0.0618396792414177,0.00178332826537366
"21","cholesterol",0.00171291584029802,0.0309653269611943,0.0442506365418947,0.00171291584029802
"22","systolic",0.00143788155167631,0.0181208038112772,0.0466504726506482,0.00143788155167631
"23","weight",0.00141846599574412,0.0409559785407748,0.0338318358746232,0.00141846599574412
"24","diastolic",0.00106541256654376,0.012172116430116,0.0341244988147151,0.00106541256654376
"25","sex",0.000100634116319946,0.000669565254627896,0.00289736310690977,0.000100634116319946
