"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.1,3,0,0.5,1,1,100,9.95596674424513,0.889218700958967,7.6538040415201,0.0881937977838784,0.00166047087884784,0.0647166815463038
"2",0.1,3,0,0.6,1,1,100,9.9456563799704,0.889446779156381,7.65654207232438,0.0896419888799286,0.00164954138247577,0.0490418258489821
"3",0.1,3,0,0.7,1,1,100,9.9063539781048,0.890322981844955,7.68503480844892,0.102469664250549,0.0017895968007906,0.0227554690930132
"4",0.1,3,0,0.8,1,1,100,9.87181024022967,0.891086690901816,7.66399137678219,0.0894302228239776,0.0016281500248303,0.0265093530300499
"5",0.1,3,0,0.9,1,1,100,9.84999388221087,0.891569827076754,7.64432704158263,0.0880954434818454,0.00160215374437092,0.0307959272974334
"16",0.3,3,0,0.5,1,1,100,9.87300199830102,0.891056557011788,7.49420284773251,0.10777202045037,0.00188134458353053,0.0418640371025783
"17",0.3,3,0,0.6,1,1,100,9.86658115051419,0.891192175948205,7.4856675181522,0.113045291303564,0.00216976954829791,0.065572382780685
"18",0.3,3,0,0.7,1,1,100,9.83922937418996,0.891790135920686,7.46424281653639,0.100073299671526,0.00197924580075091,0.0443482444417257
"19",0.3,3,0,0.8,1,1,100,9.83674655135855,0.891850463828915,7.43216965958154,0.104232222066421,0.00198489490434339,0.0243566283970452
"20",0.3,3,0,0.9,1,1,100,9.80091748315603,0.892633472382674,7.39374300171372,0.0945529647989186,0.00171041675101201,0.0285232165809127
"31",0.5,3,0,0.5,1,1,100,9.90918976614484,0.890277645748828,7.43190759602963,0.0974937561996735,0.00176972473057017,0.0294403663360454
"32",0.5,3,0,0.6,1,1,100,9.90433192658272,0.890378094198457,7.40086967541876,0.0812413620883218,0.00148768135296739,0.0452488246771943
"33",0.5,3,0,0.7,1,1,100,9.8665081726415,0.891207546525886,7.38611037418221,0.131445574650091,0.00248227087075875,0.0389673992373261
"34",0.5,3,0,0.8,1,1,100,9.85992615340869,0.89135270218539,7.35721695857527,0.0870870020045003,0.00155053121168084,0.0359320971839941
"35",0.5,3,0,0.9,1,1,100,9.8528185551058,0.891501752319275,7.33478476372631,0.103974136087742,0.00183094858528503,0.021561091988554
"6",0.1,7,0,0.5,1,1,100,9.70282623468019,0.894774312066351,7.17428423805764,0.100265640327791,0.00186825373833602,0.0439820837168051
"7",0.1,7,0,0.6,1,1,100,9.69381325544314,0.894972191512495,7.17126495778527,0.105016358315077,0.00199411763408102,0.0429942016929224
"8",0.1,7,0,0.7,1,1,100,9.64507542705941,0.896014985551631,7.09977267288179,0.103430600937843,0.00193015948865401,0.0366835936588615
"9",0.1,7,0,0.8,1,1,100,9.62965413029208,0.896346287752375,7.06650768980553,0.0940252106224316,0.00173664751471702,0.0303475713211139
"10",0.1,7,0,0.9,1,1,100,9.61284894398462,0.896707265552673,7.02014640191312,0.091212403283189,0.00169353876892593,0.0244847752880892
"21",0.3,7,0,0.5,1,1,100,9.79971851973521,0.892667353781289,7.11454765157656,0.117567069197556,0.00226555490603921,0.0384593683537882
"22",0.3,7,0,0.6,1,1,100,9.80209147706619,0.892619160925424,7.10312717644098,0.115861848000834,0.00227553433307994,0.0482706011182451
"23",0.3,7,0,0.7,1,1,100,9.77723665050993,0.893167969826764,7.06370889912227,0.108806226925773,0.00195524102531907,0.029347667258896
"24",0.3,7,0,0.8,1,1,100,9.77459745268107,0.893229528818416,7.04142418041422,0.115262558046613,0.00231035504941191,0.0421992792159837
"25",0.3,7,0,0.9,1,1,100,9.77045604687052,0.893315976478192,7.01275862642111,0.113567407200854,0.00208226304214895,0.044002076505182
"36",0.5,7,0,0.5,1,1,100,10.1142046802554,0.885790325641849,7.24835921807632,0.173282839040521,0.00375877964093095,0.0814970415368891
"37",0.5,7,0,0.6,1,1,100,10.1642879896379,0.884682667207801,7.26365879569177,0.13327202855417,0.00280462158647971,0.0549590901969116
"38",0.5,7,0,0.7,1,1,100,10.1096203143487,0.885941336226989,7.20693281426426,0.147262931425913,0.00270335473081358,0.0502254515400885
"39",0.5,7,0,0.8,1,1,100,10.0965838788785,0.886233876221558,7.17753016590475,0.123455840275793,0.00253420898701103,0.0655685354588921
"40",0.5,7,0,0.9,1,1,100,10.0778552225749,0.886668140712278,7.14190203377806,0.0748568187836294,0.00140232082726109,0.0358233200795138
"11",0.1,11,0,0.5,1,1,100,9.67873137537985,0.895285732461988,7.0128865729094,0.128110239464079,0.00267530587269786,0.0579721838403573
"12",0.1,11,0,0.6,1,1,100,9.67141732051759,0.895445571657407,7.00421287303033,0.117189799426946,0.0022738765103658,0.0555480708125543
